파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.3194,0.8995
val_006_result_Bmr019_chunk_3,0.2935,0.8942
val_044_result_Bed010_chunk_1,0.2729,0.8867
val_042_result_TS3009d_chunk_3,0.2144,0.9160
val_063_result_IS1009d_chunk_2,0.3523,0.9002
val_035_result_IS1000d_chunk_2,0.4343,0.9209
val_010_result_Bro003_chunk_1,0.0615,0.8653
val_040_result_Bmr013_chunk_4,0.2328,0.9005
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.2034,0.9329
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.2683,0.9318
val_056_result_Bmr012_chunk_1,0.2044,0.8398
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.1767,0.8843
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.1627,0.9088
val_044_result_Bed010_chunk_5,0.3263,0.8762
val_044_result_Bed010_chunk_4,0.2783,0.9104
val_056_result_Bmr012_chunk_4,0.2072,0.9101
val_025_result_IS1000b_chunk_2,0.4741,0.9432
val_017_result_IS1007b_chunk_2,0.2404,0.8550
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.2850,0.9607
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.4030,0.9376
val_044_result_Bed010_chunk_2,0.2812,0.9139
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.2560,0.9211
val_002_result_ES2014a,0.3205,0.9614
