파일명,TF-IDF_Cosine,Embedding_Cosine
val_038_result_제22대국회 제427회(임시회) 제4차 기획재정위원회(전체회의) (2025.07.18.),0.2790,0.8977
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_3,0.0378,0.7886
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_13,0.1288,0.8797
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_7,0.2775,0.8521
val_021_result_Bro011_chunk_4,0.0725,0.8623
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_1,0.5371,0.9549
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_2,0.1471,0.8877
val_026_result_ES2015c_chunk_2,0.2607,0.9036
val_061_result_TS3009b_chunk_2,0.1508,0.9014
val_048_result_Bmr006_chunk_2,0.2160,0.8894
val_049_result_Bro028_chunk_3,0.1734,0.8087
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_13,0.1803,0.9416
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_6,0.4262,0.9428
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_17,0.1192,0.9289
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_17,0.0853,0.9450
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_20,0.0663,0.8963
val_042_result_TS3009d_chunk_1,0.1722,0.8334
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_4,0.1351,0.9146
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_10,0.1879,0.9477
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_5,0.2456,0.8645
val_029_result_Bed016_chunk_1,0.0604,0.8052
val_031_result_IS1001b_chunk_2,0.2266,0.9436
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_22,0.4203,0.9530
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_1,0.1959,0.8935
val_052_result_제22대국회 제426회(임시회) 제2차 법제사법위원회(전체회의) (2025.07.03.)_chunk_3,0.1847,0.9511
val_061_result_TS3009b_chunk_3,0.2069,0.9460
val_009_result_Bmr001_chunk_2,0.3152,0.9411
val_026_result_ES2015c_chunk_3,0.1926,0.8939
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_2,0.0867,0.8920
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_16,0.1660,0.9518
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_13,0.3151,0.9674
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_9,0.1852,0.9396
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_15,0.1056,0.8882
val_010_result_Bro003_chunk_3,0.2361,0.8067
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_17,0.1919,0.9344
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_4,0.1842,0.9430
