파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.1702,0.8804
val_006_result_Bmr019_chunk_3,0.1218,0.8741
val_044_result_Bed010_chunk_1,0.2797,0.8311
val_042_result_TS3009d_chunk_3,0.0959,0.8821
val_063_result_IS1009d_chunk_2,0.1943,0.9196
val_035_result_IS1000d_chunk_2,0.1828,0.8959
val_010_result_Bro003_chunk_1,0.2193,0.9362
val_040_result_Bmr013_chunk_4,0.1198,0.8665
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.2088,0.9364
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.2607,0.9383
val_056_result_Bmr012_chunk_1,0.2433,0.8779
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.2108,0.9019
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.0635,0.7962
val_044_result_Bed010_chunk_5,0.2265,0.8775
val_044_result_Bed010_chunk_4,0.3581,0.8920
val_056_result_Bmr012_chunk_4,0.2690,0.9064
val_025_result_IS1000b_chunk_2,0.1355,0.9453
val_017_result_IS1007b_chunk_2,0.1509,0.8566
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.1867,0.9558
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.1170,0.9447
val_044_result_Bed010_chunk_2,0.1569,0.8429
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.1666,0.9319
val_002_result_ES2014a,0.2219,0.9557
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.2457,0.9279
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.1760,0.9350
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.1869,0.9199
val_025_result_IS1000b_chunk_3,0.2171,0.9430
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.1349,0.9018
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.1166,0.9473
val_032_result_TS3010b_chunk_1,0.3582,0.9460
val_066_result_Bed002_chunk_4,0.2700,0.9029
val_021_result_Bro011_chunk_2,0.1142,0.8590
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.1609,0.9124
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.1622,0.9280
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.2952,0.9391
val_058_result_Bro004_chunk_3,0.2238,0.9164
val_025_result_IS1000b_chunk_1,0.3663,0.9345
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.1842,0.9400
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_3,0.1003,0.9051
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_20,0.0776,0.8257
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_1,0.2758,0.8983
val_040_result_Bmr013_chunk_1,0.2156,0.8958
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_4,0.2999,0.9356
val_065_result_제22대국회 제424회(임시회) 제4차 과학기술정보방송통신위원회(전체회의) (2025.04.24.)_chunk_1,0.3433,0.9526
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_5,0.1645,0.9275
val_061_result_TS3009b_chunk_1,0.4649,0.9606
val_036_result_Bed013_chunk_1,0.1777,0.8592
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_16,0.1848,0.9236
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_14,0.1753,0.9531
val_007_result_Bmr025_chunk_4,0.2593,0.9126
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_5,0.1836,0.9323
val_048_result_Bmr006_chunk_6,0.3092,0.9511
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_21,0.0880,0.8699
val_003_result_제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산심사소위원회) (2024.11.19.)_chunk_2,0.2034,0.8744
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_6,0.2368,0.8856
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_13,0.1862,0.9250
val_043_result_ES2007d_chunk_2,0.2191,0.9490
val_048_result_Bmr006_chunk_1,0.2066,0.9031
val_036_result_Bed013_chunk_2,0.2578,0.9366
val_031_result_IS1001b_chunk_1,0.2724,0.9262
val_015_result_제22대국회 제418회(정기회) 제11차 과학기술정보방송통신위원회(전체회의) (2024.10.25.),0.1651,0.9195
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_11,0.2284,0.8969
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_19,0.2543,0.9295
val_040_result_Bmr013_chunk_3,0.1917,0.9089
val_038_result_제22대국회 제427회(임시회) 제4차 기획재정위원회(전체회의) (2025.07.18.),0.1106,0.9198
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_3,0.1440,0.8905
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_13,0.1849,0.9196
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_7,0.2451,0.9226
val_021_result_Bro011_chunk_4,0.1507,0.9187
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_1,0.3771,0.9547
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_2,0.1802,0.8824
val_026_result_ES2015c_chunk_2,0.2509,0.9175
val_061_result_TS3009b_chunk_2,0.2448,0.9570
val_048_result_Bmr006_chunk_2,0.2070,0.9345
val_049_result_Bro028_chunk_3,0.2490,0.8150
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_13,0.2077,0.9528
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_6,0.2565,0.9221
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_17,0.1976,0.9262
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_17,0.3026,0.9581
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_20,0.0749,0.9408
val_042_result_TS3009d_chunk_1,0.2075,0.8978
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_4,0.0971,0.9244
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_10,0.1371,0.9386
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_5,0.2276,0.9014
val_029_result_Bed016_chunk_1,0.0858,0.7816
val_031_result_IS1001b_chunk_2,0.2259,0.9545
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_22,0.3788,0.9229
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_1,0.1717,0.9330
val_052_result_제22대국회 제426회(임시회) 제2차 법제사법위원회(전체회의) (2025.07.03.)_chunk_3,0.1265,0.8672
val_061_result_TS3009b_chunk_3,0.3099,0.9553
